end_period_ts,open_interest,volume,price.close,price.close_dollars,price.high,price.high_dollars,price.low,price.low_dollars,price.max,price.max_dollars,price.mean,price.mean_dollars,price.min,price.min_dollars,price.open,price.open_dollars,price.previous,price.previous_dollars,yes_ask.close,yes_ask.close_dollars,yes_ask.high,yes_ask.high_dollars,yes_ask.low,yes_ask.low_dollars,yes_ask.open,yes_ask.open_dollars,yes_bid.close,yes_bid.close_dollars,yes_bid.high,yes_bid.high_dollars,yes_bid.low,yes_bid.low_dollars,yes_bid.open,yes_bid.open_dollars,market
1762056000,182685,2156296,90.0,0.9000,90.0,0.9000,89.0,0.8900,,,89.0,0.8999,,,90.0,0.9000,90.0,0.9000,90,0.9000,90,0.9000,90,0.9000,90,0.9000,89,0.8900,89,0.8900,89,0.8900,89,0.8900,KXNFLGAME-25NOV02NOLA-LA
1761537600,3633,8103319,38.0,0.3800,41.0,0.4100,36.0,0.3600,,,39.0,0.3957,,,41.0,0.4100,41.0,0.4100,38,0.3800,41,0.4100,38,0.3800,41,0.4100,36,0.3600,39,0.3900,36,0.3600,38,0.3800,KXNFLGAME-25NOV02JACLV-LV
1761624000,4975,8103319,39.0,0.3900,39.0,0.3900,36.0,0.3600,,,37.0,0.3770,,,39.0,0.3900,38.0,0.3800,39,0.3900,39,0.3900,37,0.3700,38,0.3800,38,0.3800,38,0.3800,36,0.3600,36,0.3600,KXNFLGAME-25NOV02JACLV-LV
1761710400,7223,8103319,38.0,0.3800,39.0,0.3900,37.0,0.3700,,,38.0,0.3860,,,39.0,0.3900,39.0,0.3900,38,0.3800,39,0.3900,38,0.3800,39,0.3900,37,0.3700,38,0.3800,37,0.3700,38,0.3800,KXNFLGAME-25NOV02JACLV-LV
1761796800,11187,8103319,42.0,0.4200,42.0,0.4200,37.0,0.3700,,,39.0,0.3959,,,38.0,0.3800,38.0,0.3800,42,0.4200,42,0.4200,38,0.3800,38,0.3800,40,0.4000,40,0.4000,37,0.3700,37,0.3700,KXNFLGAME-25NOV02JACLV-LV
1761883200,16692,8103319,42.0,0.4200,42.0,0.4200,39.0,0.3900,,,41.0,0.4182,,,42.0,0.4200,42.0,0.4200,42,0.4200,42,0.4200,40,0.4000,42,0.4200,41,0.4100,41,0.4100,39,0.3900,40,0.4000,KXNFLGAME-25NOV02JACLV-LV
1761969600,36283,8103319,44.0,0.4400,44.0,0.4400,41.0,0.4100,,,43.0,0.4341,,,42.0,0.4200,42.0,0.4200,44,0.4400,44,0.4400,42,0.4200,42,0.4200,43,0.4300,43,0.4300,41,0.4100,41,0.4100,KXNFLGAME-25NOV02JACLV-LV
1762056000,83036,8103319,45.0,0.4500,45.0,0.4500,43.0,0.4300,,,44.0,0.4406,,,44.0,0.4400,44.0,0.4400,45,0.4500,45,0.4500,44,0.4400,44,0.4400,44,0.4400,44,0.4400,43,0.4300,43,0.4300,KXNFLGAME-25NOV02JACLV-LV
1761537600,17499,13315769,64.0,0.6400,64.0,0.6400,59.0,0.5900,,,62.0,0.6283,,,62.0,0.6200,62.0,0.6200,64,0.6400,74,0.7400,60,0.6000,62,0.6200,62,0.6200,62,0.6200,59,0.5900,60,0.6000,KXNFLGAME-25NOV02JACLV-JAC
1761624000,27772,13315769,63.0,0.6300,64.0,0.6400,62.0,0.6200,,,63.0,0.6336,,,64.0,0.6400,64.0,0.6400,63,0.6300,64,0.6400,62,0.6200,64,0.6400,62,0.6200,63,0.6300,61,0.6100,62,0.6200,KXNFLGAME-25NOV02JACLV-JAC
