end_period_ts,open_interest,volume,price.close,price.high,price.low,price.max,price.mean,price.min,price.open,price.previous,price.previous_dollars,yes_ask.close,yes_ask.close_dollars,yes_ask.high,yes_ask.high_dollars,yes_ask.low,yes_ask.low_dollars,yes_ask.open,yes_ask.open_dollars,yes_bid.close,yes_bid.close_dollars,yes_bid.high,yes_bid.high_dollars,yes_bid.low,yes_bid.low_dollars,yes_bid.open,yes_bid.open_dollars,price.close_dollars,price.high_dollars,price.low_dollars,price.mean_dollars,price.open_dollars,market
1764072000,3488,3981821,,,,,,,,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,,,,,,KXNFLGAME-25NOV30LVLAC-LV
1764075600,3508,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,18,0.1800,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764079200,3612,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764082800,3868,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764086400,3888,3981821,20.0,20.0,19.0,,19.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.1900,0.1944,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764090000,3888,3981821,19.0,19.0,19.0,,19.0,,19.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,KXNFLGAME-25NOV30LVLAC-LV
1764093600,3920,3981821,20.0,20.0,20.0,,20.0,,20.0,19.0,0.1900,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764097200,3985,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764100800,4045,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764104400,5117,3981821,20.0,20.0,19.0,,19.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,19,0.1900,20,0.2000,19,0.1900,19,0.1900,18,0.1800,19,0.1900,0.2000,0.2000,0.1900,0.1907,0.2000,KXNFLGAME-25NOV30LVLAC-LV
